date,train_id,station_id,station_name,station_seq,cum_distance_km,distance_to_next_km,distance_to_destination_km,journey_progress_frac,hour_of_day,day_of_week,is_peak_hour,is_weekend,current_delay_min,delay_trend,dwell_time_min,sched_section_min,actual_section_min,section_delay_delta_min,congestion_level,is_rain,is_fog,temperature_c,visibility_km,weather_severity,train_sched_avg_speed_kmph,train_congestion_sensitivity_meta,train_recovery_rate_meta,train_avg_delay,train_delay_std,station_avg_dwell,target_next_station_delay_min,target_final_delay_min
2026-06-01,12000,S01,Delhi,0,0,147.0,1400,0.0,7,0,1,0,1.41,0.0,0.0,122.41,123.83,1.4200000000000017,0.836,0,0,26.4,4.69,0.0,72.0501755284444,0.5181899606485207,0.2550213529560302,13.663444444444444,8.689545511303518,0.0,9.33,9.27
2026-06-01,12000,S02,Mathura,1,147,137.0,1253,0.105,9,0,1,0,9.33,7.92,6.2,114.09,122.01,7.920000000000002,0.817,1,0,32.6,7.43,1.0,72.0501755284444,0.5181899606485207,0.2550213529560302,13.663444444444444,8.689545511303518,5.460106595602932,13.08,9.27
2026-06-01,12000,S03,Agra,2,284,59.0,1116,0.20285714285714285,11,0,0,0,13.08,3.75,6.05,49.13,44.75,-4.380000000000003,0.388,0,0,24.6,7.74,0.0,72.0501755284444,0.5181899606485207,0.2550213529560302,13.663444444444444,8.689545511303518,5.7025383077948035,11.39,9.27
2026-06-01,12000,S04,Gwalior,3,343,151.0,1057,0.245,12,0,0,0,11.39,-1.6899999999999995,5.47,125.75,132.19,6.439999999999998,0.041,1,0,30.8,9.56,1.0,72.0501755284444,0.5181899606485207,0.2550213529560302,13.663444444444444,8.689545511303518,5.746748834110593,3.7,9.27
2026-06-01,12000,S05,Jhansi,4,494,116.0,906,0.35285714285714287,14,0,0,0,3.7,-7.69,5.29,96.6,88.91,-7.689999999999998,0.159,0,0,31.3,6.89,0.0,72.0501755284444,0.5181899606485207,0.2550213529560302,13.663444444444444,8.689545511303518,5.890953333333334,4.89,9.27
2026-06-01,12000,S06,Bhopal,5,610,65.0,790,0.4357142857142857,16,0,0,0,4.89,1.1899999999999995,8.17,54.13,55.32,1.1899999999999977,0.555,0,0,35.1,9.28,0.0,72.0501755284444,0.5181899606485207,0.2550213529560302,13.663444444444444,8.689545511303518,5.722413333333334,8.24,9.27
2026-06-01,12000,S07,Itarsi,6,675,147.0,725,0.48214285714285715,17,0,1,0,8.24,3.3500000000000005,5.92,122.41,125.77,3.3599999999999994,0.503,1,0,33.1,7.64,1.0,72.0501755284444,0.5181899606485207,0.2550213529560302,13.663444444444444,8.689545511303518,5.6069,15.75,9.27
2026-06-01,12000,S08,Nagpur,7,822,166.0,578,0.5871428571428572,19,0,1,0,15.75,7.51,8.63,138.24,145.75,7.509999999999991,0.873,1,0,31.9,5.28,1.0,72.0501755284444,0.5181899606485207,0.2550213529560302,13.663444444444444,8.689545511303518,5.591552298467688,18.57,9.27
2026-06-01,12000,S09,Raipur,8,988,119.0,412,0.7057142857142857,22,0,0,0,18.57,2.8200000000000003,6.36,99.1,101.92,2.8200000000000074,0.292,1,0,28.9,4.71,1.0,72.0501755284444,0.5181899606485207,0.2550213529560302,13.663444444444444,8.689545511303518,5.54272,8.99,9.27
2026-06-01,12000,S10,Sambalpur,9,1107,132.0,293,0.7907142857142857,0,1,0,0,8.99,-9.58,5.34,109.92,100.34,-9.579999999999998,0.217,0,0,36.7,4.37,0.0,72.0501755284444,0.5181899606485207,0.2550213529560302,13.663444444444444,8.689545511303518,5.693224516988675,9.27,9.27
2026-06-01,12000,S11,Cuttack,10,1239,161.0,161,0.885,1,1,0,0,9.27,0.27999999999999936,5.16,134.07,134.35,0.28000000000000114,0.111,0,0,30.9,9.4,0.0,72.0501755284444,0.5181899606485207,0.2550213529560302,13.663444444444444,8.689545511303518,5.7306,9.27,9.27
2026-06-01,12000,S12,Bhubaneswar,11,1400,,0,1.0,4,1,0,0,9.27,0.0,0.0,,,,0.116,0,0,27.6,5.06,0.0,72.0501755284444,0.5181899606485207,0.2550213529560302,13.663444444444444,8.689545511303518,0.0,,9.27
2026-06-02,12000,S01,Delhi,0,0,147.0,1400,0.0,7,1,1,0,6.59,0.0,0.0,122.41,129.01,6.599999999999994,0.887,0,0,40.1,5.18,0.0,72.0501755284444,0.5181899606485207,0.2550213529560302,13.663444444444444,8.689545511303518,0.0,8.6,12.19
2026-06-02,12000,S02,Mathura,1,147,137.0,1253,0.105,9,1,1,0,8.6,2.01,6.53,114.09,116.1,2.009999999999991,0.509,0,0,26.6,4.86,0.0,72.0501755284444,0.5181899606485207,0.2550213529560302,13.663444444444444,8.689545511303518,5.460106595602932,7.9,12.19
2026-06-02,12000,S03,Agra,2,284,59.0,1116,0.20285714285714285,11,1,0,0,7.9,-0.6999999999999993,6.32,49.13,48.44,-0.6900000000000048,0.539,1,0,28.0,9.82,1.0,72.0501755284444,0.5181899606485207,0.2550213529560302,13.663444444444444,8.689545511303518,5.7025383077948035,1.72,12.19
2026-06-02,12000,S04,Gwalior,3,343,151.0,1057,0.245,12,1,0,0,1.72,-6.180000000000001,5.36,125.75,119.56,-6.189999999999998,0.068,0,0,18.4,3.46,0.0,72.0501755284444,0.5181899606485207,0.2550213529560302,13.663444444444444,8.689545511303518,5.746748834110593,2.24,12.19
2026-06-02,12000,S05,Jhansi,4,494,116.0,906,0.35285714285714287,14,1,0,0,2.24,0.5200000000000002,5.53,96.6,97.12,0.5200000000000102,0.023,0,0,28.1,9.74,0.0,72.0501755284444,0.5181899606485207,0.2550213529560302,13.663444444444444,8.689545511303518,5.890953333333334,5.77,12.19
2026-06-02,12000,S06,Bhopal,5,610,65.0,790,0.4357142857142857,16,1,0,0,5.77,3.5299999999999994,7.83,54.13,57.66,3.529999999999994,0.259,1,0,35.7,7.05,1.0,72.0501755284444,0.5181899606485207,0.2550213529560302,13.663444444444444,8.689545511303518,5.722413333333334,10.8,12.19
2026-06-02,12000,S07,Itarsi,6,675,147.0,725,0.48214285714285715,17,1,1,0,10.8,5.030000000000001,9.71,122.41,127.44,5.030000000000001,0.735,1,0,31.8,5.03,1.0,72.0501755284444,0.5181899606485207,0.2550213529560302,13.663444444444444,8.689545511303518,5.6069,33.05,12.19
