date,train_id,station_seq,station_id,station_name,cum_distance_km,distance_to_next_km,hour_of_day,day_of_week,current_delay_min,dwell_time_min,sched_section_min,actual_section_min,congestion_level,is_rain,is_fog,temperature_c,visibility_km,avg_speed_kmph,train_congestion_sensitivity,train_recovery_rate
2026-07-29,12010,2,S03,Agra,284,59.0,23,2,14.93,4.97,60.69,57.35,0.043,0,0,19.5,7.67,58.3,0.774,0.288
2026-07-01,12014,1,S02,Mathura,147,137.0,5,2,6.28,5.86,92.64,95.65,0.211,1,0,29.3,9.41,88.7,0.607,0.212
2026-06-17,12009,3,S04,Gwalior,343,151.0,22,2,14.78,4.12,110.09,117.0,0.025,1,0,28.2,6.95,82.3,0.637,0.363
2026-07-11,12012,8,S09,Raipur,988,119.0,4,6,16.78,5.74,96.1,96.23,0.014,1,0,19.5,9.35,74.3,0.414,0.311
2026-06-16,12020,7,S08,Nagpur,822,166.0,2,2,13.25,6.25,180.25,182.35,0.219,0,0,37.1,7.59,55.3,0.308,0.353
2026-07-25,12017,8,S09,Raipur,988,119.0,4,6,35.3,3.72,129.12,131.29,0.066,0,0,26.9,6.23,55.3,0.648,0.248
2026-06-05,12014,10,S11,Cuttack,1239,161.0,18,4,23.45,7.06,108.87,118.06,0.556,0,0,,7.86,88.7,0.607,0.212
2026-06-19,12012,2,S03,Agra,284,59.0,17,4,9.2,10.96,47.65,48.98,0.822,1,0,26.1,5.92,74.3,0.414,0.311
2026-06-20,12003,3,S04,Gwalior,343,151.0,7,5,18.21,2.81,126.43,139.31,0.704,1,0,27.3,8.11,71.7,1.029,0.251
2026-06-09,12019,4,S05,Jhansi,494,116.0,8,2,19.77,4.66,116.79,124.64,0.73,1,0,26.2,5.76,59.6,0.728,0.472
2026-07-30,12015,1,S02,Mathura,147,137.0,14,3,20.5,2.76,127.96,130.84,0.237,1,0,19.4,5.51,64.2,0.429,0.209
2026-07-03,12017,1,S02,Mathura,147,137.0,12,4,25.88,2.58,148.65,151.44,0.009,0,0,25.4,6.23,55.3,0.648,0.248
2026-06-05,12000,4,S05,Jhansi,494,116.0,14,4,7.36,5.41,96.6,97.64,0.002,1,0,27.0,6.66,72.1,0.518,0.255
2026-07-06,12013,7,S08,Nagpur,822,166.0,21,0,237.95737162261415,6.81,127.97,135.1,0.211,1,0,15.0,8.09,77.8,1.365,0.342
2026-06-03,12019,6,S07,Itarsi,675,147.0,11,3,2.83,3.82,148.0,141.02,0.484,0,0,38.6,7.9,59.6,0.728,0.472
2026-07-15,12017,0,S01,Delhi,0,147.0,9,2,13.35,0.0,159.51,172.86,0.912,1,0,34.2,6.76,55.3,0.648,0.248
2026-06-11,12021,7,S08,Nagpur,822,166.0,12,4,-1.92,5.22,149.06,129.73,0.014,0,0,31.0,8.14,66.8,0.623,0.273
2026-07-09,12020,7,S08,Nagpur,822,166.0,2,4,14.98,6.09,180.25,189.61,0.255,0,0,22.1,7.26,55.3,0.308,0.353
2026-06-27,12009,6,S07,Itarsi,675,147.0,2,6,11.09,4.38,107.18,96.5,0.008,0,0,29.1,3.58,82.3,0.637,0.363
2026-07-14,12017,2,S03,Agra,284,59.0,14,1,7.28,4.67,64.02,69.12,0.205,1,0,38.6,7.96,55.3,0.648,0.248
2026-06-11,12016,2,S03,Agra,284,59.0,13,3,6.28,5.49,53.32,47.9,0.241,0,0,18.6,6.92,66.4,1.025,0.362
2026-07-15,12008,9,S10,Sambalpur,1107,132.0,10,3,12.84,7.46,132.68,129.77,0.388,0,0,33.5,7.92,59.7,1.313,0.424
2026-06-25,12012,11,S12,Bhubaneswar,1400,,9,4,18.44,0.0,,,0.806,1,0,22.9,9.4,74.3,0.414,0.311
2026-07-02,12013,4,S05,Jhansi,494,116.0,16,3,4.97,5.58,89.42,99.62,0.316,0,0,29.3,8.21,77.8,1.365,0.342
2026-07-21,12019,8,S09,Raipur,988,119.0,16,2,1.92,4.35,119.81,110.41,0.448,0,0,34.0,8.36,59.6,0.728,0.472
2026-07-27,12014,8,S09,Raipur,988,119.0,15,0,19.34,6.47,80.47,69.41,0.145,0,0,18.4,7.11,88.7,0.607,0.212
2026-07-11,12000,9,S10,Sambalpur,1107,132.0,0,6,13.78,6.58,109.92,113.92,0.1,0,0,32.5,7.95,72.1,0.518,0.255
2026-07-24,12008,3,S04,Gwalior,343,151.0,20,4,9.78,5.66,151.77,146.85,0.564,0,0,28.7,7.11,59.7,1.313,0.424
2026-07-14,12001,4,S05,Jhansi,494,116.0,15,1,1.57,2.49,95.97,99.92,0.238,1,0,26.1,3.0,72.5,0.328,0.357
2026-06-18,12019,1,S02,Mathura,147,137.0,2,4,18.75,7.94,137.93,142.91,0.045,1,0,18.6,7.46,59.6,0.728,0.472
2026-06-30,12014,10,S11,Cuttack,1239,161.0,18,1,10.11,10.68,108.87,103.4,0.512,0,0,32.5,,88.7,0.607,0.212
2026-07-07,12017,1,S02,Mathura,147,137.0,12,1,17.63,8.74,148.65,144.8,0.039,1,0,24.4,7.1,55.3,0.648,0.248
2026-06-04,12002,7,S08,Nagpur,822,166.0,14,4,26.4,4.19,194.24,177.56,0.066,0,0,24.4,7.82,51.3,1.242,0.26
2026-06-21,12024,3,S04,Gwalior,343,151.0,17,6,11.15,3.84,133.98,136.48,0.797,0,0,6.3,6.73,67.6,0.587,0.243
2026-07-18,12011,5,S06,Bhopal,610,65.0,12,5,8.35,9.13,47.74,39.16,0.084,0,0,31.8,3.21,81.7,1.175,0.431
2026-07-21,12012,3,S04,Gwalior,343,151.0,18,1,26.46,8.97,121.94,138.98,0.994,1,0,20.9,6.83,74.3,0.414,0.311
2026-07-12,12015,4,S05,Jhansi,494,116.0,20,6,21.61,7.07,108.34,103.81,0.681,0,0,,7.27,64.2,0.429,0.209
2026-06-25,12018,8,S09,Raipur,988,119.0,13,4,30.07,5.7,97.68,102.7,0.209,1,0,29.5,9.19,73.1,0.562,0.325
2026-06-02,12012,1,S02,Mathura,147,137.0,15,1,9.1,7.03,110.63,118.55,0.093,1,0,27.7,,74.3,0.414,0.311
2026-06-14,12006,2,S03,Agra,284,59.0,16,6,13.45,3.91,56.55,49.48,0.344,0,0,30.2,,62.6,0.55,0.37
2026-07-04,12005,0,S01,Delhi,0,147.0,3,5,10.92,0.0,136.1,147.02,0.2,1,0,31.7,8.77,64.8,0.894,0.21
2026-07-25,12021,5,S06,Bhopal,610,65.0,9,6,21.65,6.05,58.37,59.13,0.725,1,0,26.2,6.92,66.8,0.623,0.273
2026-07-12,12005,7,S08,Nagpur,822,166.0,16,6,2.91,3.64,153.69,152.7,0.266,0,0,27.0,9.32,64.8,0.894,0.21
2026-07-09,12001,6,S07,Itarsi,675,147.0,18,3,15.81,4.62,121.61,132.23,0.733,1,0,31.6,6.61,72.5,0.328,0.357
2026-06-22,12014,5,S06,Bhopal,610,65.0,11,0,,9.08,43.96,38.4,0.332,1,0,32.5,6.04,88.7,0.607,0.212
2026-06-21,12010,8,S09,Raipur,988,119.0,12,0,,5.56,122.4,113.37,0.063,0,0,26.4,7.81,58.3,0.774,0.288
2026-07-12,12017,4,S05,Jhansi,494,116.0,19,6,18.85,2.89,125.87,116.56,0.848,0,0,21.2,6.04,55.3,0.648,0.248
2026-06-15,12014,5,S06,Bhopal,610,65.0,11,0,10.07,7.36,43.96,35.46,0.203,0,0,22.8,8.26,88.7,0.607,0.212
2026-06-10,12005,10,S11,Cuttack,1239,161.0,23,2,37.03,4.75,149.06,150.91,0.292,1,0,29.6,4.43,64.8,0.894,0.21
2026-06-08,12000,10,S11,Cuttack,1239,161.0,2,1,9.4,6.06,134.07,129.25,0.227,0,0,26.9,9.19,72.1,0.518,0.255
2026-06-10,12016,4,S05,Jhansi,494,116.0,16,2,10.15,7.48,104.83,113.94,0.37,1,0,24.5,4.35,66.4,1.025,0.362
2026-07-19,12011,1,S02,Mathura,147,137.0,5,6,-6.38,6.26,100.62,100.3,0.151,0,0,31.6,6.06,81.7,1.175,0.431
2026-06-11,12002,9,S10,Sambalpur,1107,132.0,20,4,40.71,3.68,154.45,154.64,0.636,0,0,24.4,3.97,51.3,1.242,0.26
2026-06-30,12002,8,S09,Raipur,988,119.0,17,2,37.56,8.59,139.24,146.19,0.887,0,0,24.1,7.78,51.3,1.242,0.26
2026-07-11,12004,7,S08,Nagpur,822,166.0,20,5,24.69,9.84,218.44,214.72,0.783,1,0,32.9,5.41,45.6,0.319,0.269
2026-07-27,12019,7,S08,Nagpur,822,166.0,14,1,11.69,3.98,167.13,162.38,0.0,0,0,33.4,6.99,59.6,0.728,0.472
2026-07-08,12008,10,S11,Cuttack,1239,161.0,12,3,18.1,6.61,161.82,160.55,0.061,1,0,32.9,6.09,59.7,1.313,0.424
2026-06-13,12016,8,S09,Raipur,988,119.0,1,6,17.51,7.93,107.54,101.77,0.254,1,0,32.6,4.55,66.4,1.025,0.362
2026-06-25,12022,1,S02,Mathura,147,137.0,2,4,2.85,9.13,149.88,145.22,0.105,0,0,22.1,4.07,54.8,0.605,0.274
2026-06-17,12018,8,S09,Raipur,988,119.0,12,3,22.24,4.9,97.68,99.91,0.218,1,0,26.7,8.3,73.1,0.562,0.325
2026-07-06,12020,9,S10,Sambalpur,1107,132.0,7,1,3.53,5.73,143.33,145.9,0.918,0,0,36.1,5.07,55.3,0.308,0.353
2026-06-10,12021,0,S01,Delhi,0,147.0,23,2,0.1,0.0,132.0,132.1,0.167,0,0,17.4,8.57,66.8,0.623,0.273
2026-07-28,12012,8,S09,Raipur,988,119.0,3,2,7.49,8.95,96.1,102.87,0.234,1,0,34.3,4.23,74.3,0.414,0.311
2026-07-19,12005,7,S08,Nagpur,822,166.0,16,6,17.75,3.38,153.69,149.09,0.36,0,0,25.5,8.18,64.8,0.894,0.21
2026-06-29,12019,9,S10,Sambalpur,1107,132.0,18,1,19.33,4.15,132.9,148.7,0.857,1,0,34.7,9.31,59.6,0.728,0.472
2026-06-24,12024,9,S10,Sambalpur,1107,132.0,5,3,28.66,3.06,117.12,129.84,0.097,1,0,35.5,,67.6,0.587,0.243
2026-07-07,12019,2,S03,Agra,284,59.0,4,2,7.72,4.14,59.4,56.8,0.134,1,0,37.7,4.97,59.6,0.728,0.472
2026-07-21,12007,0,S01,Delhi,0,147.0,13,1,5.69,0.0,106.39,112.08,0.091,0,0,32.7,5.92,82.9,0.774,0.478
2026-06-30,12005,4,S05,Jhansi,494,116.0,11,1,20.34,5.83,107.4,108.26,0.513,1,0,33.2,6.26,64.8,0.894,0.21
2026-07-09,12020,5,S06,Bhopal,610,65.0,22,3,12.09,7.37,70.58,69.66,0.172,0,0,39.1,3.94,55.3,0.308,0.353
2026-07-05,12005,4,S05,Jhansi,494,116.0,11,6,30.4,6.82,107.4,118.01,0.578,1,0,31.4,9.06,64.8,0.894,0.21
2026-07-03,12017,3,S04,Gwalior,343,151.0,16,4,19.89,3.29,163.85,168.3,0.407,1,0,43.3,9.51,55.3,0.648,0.248
2026-07-15,12013,2,S03,Agra,284,59.0,14,2,5.11,5.45,45.48,43.76,0.177,1,0,32.5,8.91,77.8,1.365,0.342
2026-06-18,12016,8,S09,Raipur,988,119.0,0,4,0.81,6.07,107.54,102.62,0.227,0,0,39.1,3.65,66.4,1.025,0.362
2026-06-08,12001,6,S07,Itarsi,675,147.0,18,0,-0.38,2.8,121.61,114.0,0.945,0,0,32.4,6.68,72.5,0.328,0.357
2026-06-25,12019,11,S12,Bhubaneswar,1400,,0,5,16.82,0.0,,,0.089,0,0,,4.49,59.6,0.728,0.472
2026-07-28,12006,6,S07,Itarsi,675,147.0,23,1,18.31,3.98,140.9,135.06,0.231,0,0,31.5,4.29,62.6,0.55,0.37
2026-07-28,12013,4,S05,Jhansi,494,116.0,17,1,30.82,8.13,89.42,105.31,0.585,1,0,29.0,,77.8,1.365,0.342
2026-07-12,12017,11,S12,Bhubaneswar,1400,,11,0,25.77,0.0,,,0.412,1,0,32.1,,55.3,0.648,0.248
2026-07-27,12022,9,S10,Sambalpur,1107,132.0,21,1,28.58,6.07,144.41,145.03,0.486,1,0,30.4,4.29,54.8,0.605,0.274
2026-06-06,12008,8,S09,Raipur,988,119.0,8,6,245.90774005125027,11.16,119.61,118.39,0.787,0,0,36.9,4.26,59.7,1.313,0.424
2026-06-01,12002,6,S07,Itarsi,675,147.0,11,1,26.18,6.76,172.01,168.67,0.204,0,0,28.1,5.72,51.3,1.242,0.26
2026-07-13,12005,3,S04,Gwalior,343,151.0,9,0,29.44,3.22,139.8,148.91,0.913,0,0,40.5,5.59,64.8,0.894,0.21
2026-06-07,12022,3,S04,Gwalior,343,151.0,6,0,5.37,6.62,165.19,162.05,0.048,0,0,19.9,4.61,54.8,0.605,0.274
2026-06-02,12014,5,S06,Bhopal,610,65.0,11,1,19.45,7.84,43.96,40.96,0.492,1,0,23.4,5.81,88.7,0.607,0.212
2026-07-12,12008,7,S08,Nagpur,822,166.0,5,0,24.6,5.04,166.85,184.77,0.21,1,0,,8.72,59.7,1.313,0.424
2026-06-11,12008,8,S09,Raipur,988,119.0,8,4,9.24,9.04,119.61,115.22,0.646,0,0,20.6,9.89,59.7,1.313,0.424
2026-07-12,12014,8,S09,Raipur,988,119.0,15,6,12.08,-8.08,80.47,73.93,0.086,0,0,39.0,9.52,88.7,0.607,0.212
